shell,support_size_k,power,quotient_coefficient
24,21,4,1855260531
24,21,5,3619113210
24,21,6,45485503749
24,21,7,87351894288
24,21,8,760833256122
24,21,9,1434314617956
24,21,10,9181883658294
24,21,11,16929452698632
24,21,12,82448737780086
24,21,13,147968022861540
24,21,14,560117604189690
24,21,15,972267185517840
24,21,16,2900924312925285
24,21,17,4829581440332730
24,21,18,11476262044431315
24,21,19,18122942648529900
24,21,20,34677472553679879
24,21,21,14711655022773282
24,21,22,7355827511386641
24,22,0,4096
24,22,1,8192
24,22,2,552960
24,22,3,1097728
24,22,4,34353152
24,22,5,67608576
24,22,6,1300254720
24,22,7,2532900864
24,22,8,33450467328
24,22,9,64368033792
24,22,10,617740197888
24,22,11,1171112361984
24,22,12,8429318529024
24,22,13,15687524696064
24,22,14,86162737176576
24,22,15,156637949657088
24,22,16,661730080542720
24,22,17,1166822211428352
24,22,18,3796708165627904
24,22,19,6426594119827456
24,22,20,16068299690962944
24,22,21,25710005262098432
24,22,22,12855002631049216
24,23,0,1
24,23,1,2
24,23,2,279
24,23,3,556
24,23,4,35747
24,23,5,70938
24,23,6,2782869
24,23,7,5494800
24,23,8,146728026
24,23,9,287961252
24,23,10,5526778134
24,23,11,10765595016
24,23,12,152789573334
24,23,13,294813551652
24,23,14,3133459283994
24,23,15,5972105016336
24,23,16,47574688462773
24,23,17,89177271909210
24,23,18,527033440877507
24,23,19,964889609845804
24,23,20,4136895518914935
24,23,21,7308901427984066
24,23,22,21914624432020321
24,24,0,0
